regione,somministrazioni,percentuale,dosiConsegnate,aggiornamento,codice_regione,dataAggiornamento
Toscana,3579,12.818768,27920,1/2/2021 7:44:24 PM,09,2021-01-02 
Umbria,980,19.758065,4960,1/2/2021 7:44:24 PM,10,2021-01-02 
Valle Aosta,38,3.819095,995,1/2/2021 7:44:24 PM,02,2021-01-02 
Veneto,6041,15.529563,38900,1/2/2021 7:44:24 PM,05,2021-01-02 
Abruzzo,685,8.632640,7935,1/2/2021 10:08:52 PM,13,2021-01-02 
Basilicata,423,8.493976,4980,1/2/2021 10:08:52 PM,17,2021-01-02 
Calabria,448,3.458124,12955,1/2/2021 10:08:52 PM,18,2021-01-02 
Campania,6671,19.695896,33870,1/2/2021 10:08:52 PM,15,2021-01-02 
Emilia-Romagna,5504,12.544729,43875,1/2/2021 10:08:52 PM,08,2021-01-02 
Friuli-Venezia Giulia,1948,16.280819,11965,1/2/2021 10:08:52 PM,06,2021-01-02 
Lazio,16366,35.729724,45805,1/2/2021 10:08:52 PM,12,2021-01-02 
Liguria,1889,11.865578,15920,1/2/2021 10:08:52 PM,07,2021-01-02 
Lombardia,2446,3.034928,80595,1/2/2021 10:08:52 PM,03,2021-01-02 
Marche,953,10.618384,8975,1/2/2021 10:08:52 PM,11,2021-01-02 
Molise,50,1.680672,2975,1/2/2021 10:08:52 PM,14,2021-01-02 
P.A. Bolzano,1037,17.297748,5995,1/2/2021 10:08:52 PM,21,2021-01-02 
P.A. Trento,1730,34.773869,4975,1/2/2021 10:08:52 PM,22,2021-01-02 
Piemonte,6024,14.734010,40885,1/2/2021 10:08:52 PM,01,2021-01-02 
Puglia,4607,17.818604,25855,1/2/2021 10:08:52 PM,16,2021-01-02 
Sardegna,302,2.349280,12855,1/2/2021 10:08:52 PM,20,2021-01-02 
Sicilia,2471,5.312836,46510,1/2/2021 10:08:52 PM,19,2021-01-02 
Toscana,6824,24.441261,27920,1/2/2021 10:08:52 PM,09,2021-01-02 
Umbria,980,19.758065,4960,1/2/2021 10:08:52 PM,10,2021-01-02 
Valle Aosta,62,6.231156,995,1/2/2021 10:08:52 PM,02,2021-01-02 
Veneto,6041,15.529563,38900,1/2/2021 10:08:52 PM,05,2021-01-02 
Abruzzo,685,8.632640,7935,1/2/2021 10:15:13 PM,13,2021-01-02 
Basilicata,303,6.084337,4980,1/2/2021 10:15:13 PM,17,2021-01-02 
Calabria,448,3.458124,12955,1/2/2021 10:15:13 PM,18,2021-01-02 
Campania,6671,19.695896,33870,1/2/2021 10:15:13 PM,15,2021-01-02 
Emilia-Romagna,5504,12.544729,43875,1/2/2021 10:15:13 PM,08,2021-01-02 
Friuli-Venezia Giulia,1948,16.280819,11965,1/2/2021 10:15:13 PM,06,2021-01-02 
Lazio,16366,35.729724,45805,1/2/2021 10:15:13 PM,12,2021-01-02 
Liguria,1889,11.865578,15920,1/2/2021 10:15:13 PM,07,2021-01-02 
Lombardia,2446,3.034928,80595,1/2/2021 10:15:13 PM,03,2021-01-02 
Marche,953,10.618384,8975,1/2/2021 10:15:13 PM,11,2021-01-02 
Molise,50,1.680672,2975,1/2/2021 10:15:13 PM,14,2021-01-02 
P.A. Bolzano,1037,17.297748,5995,1/2/2021 10:15:13 PM,21,2021-01-02 
P.A. Trento,1730,34.773869,4975,1/2/2021 10:15:13 PM,22,2021-01-02 
Piemonte,6024,14.734010,40885,1/2/2021 10:15:13 PM,01,2021-01-02 
Puglia,4607,17.818604,25855,1/2/2021 10:15:13 PM,16,2021-01-02 
Sardegna,302,2.349280,12855,1/2/2021 10:15:13 PM,20,2021-01-02 
Sicilia,2471,5.312836,46510,1/2/2021 10:15:13 PM,19,2021-01-02 
